candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
240,fe-candidate-0240-joel-spolsky,Joel Spolsky,1965,Stack Overflow/Trello founder,,,,,https://en.wikipedia.org/wiki/Joel_Spolsky,unresearched,unverified_candidate,Curated: Stack Overflow/Trello founder
241,fe-candidate-0241-jesse-macfadyen,Jesse MacFadyen,,PhoneGap engineer,,,,,https://en.wikipedia.org/wiki/Jesse_MacFadyen,unresearched,unverified_candidate,Curated: PhoneGap engineer
242,fe-candidate-0242-frances-allen,Frances Allen,1932,compiler pioneer,,,,,https://en.wikipedia.org/wiki/Frances_Allen,unresearched,unverified_candidate,Curated: compiler pioneer
243,fe-candidate-0243-amanda-askell,Amanda Askell,1988,Anthropic researcher,,,,,https://en.wikipedia.org/wiki/Amanda_Askell,unresearched,unverified_candidate,Curated: Anthropic researcher
244,fe-candidate-0244-dan-benjamin,Dan Benjamin,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Dan_Benjamin,unresearched,unverified_candidate,Wikipedia category: American technology company founders
245,fe-candidate-0245-robert-cailliau,Robert Cailliau,1947,WWW contributor,,,,,https://en.wikipedia.org/wiki/Robert_Cailliau,unresearched,unverified_candidate,Curated: WWW contributor
246,fe-candidate-0246-evelyn-miralles,Evelyn Miralles,,American software engineers,,,,,https://en.wikipedia.org/wiki/Evelyn_Miralles,unresearched,unverified_candidate,Wikipedia category: American software engineers
247,fe-candidate-0247-tianon-gravi,Tianon Gravi,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Tianon_Gravi,unresearched,unverified_candidate,Curated: Docker engineer
248,fe-candidate-0248-lea-verou,Lea Verou,1991,web standards advocate,,,,,https://en.wikipedia.org/wiki/Lea_Verou,unresearched,unverified_candidate,Curated: web standards advocate
249,fe-candidate-0249-john-boyer-(software-engineer),John Boyer (software engineer),,American software engineers,,,,,https://en.wikipedia.org/wiki/John_Boyer_(software_engineer),unresearched,unverified_candidate,Wikipedia category: American software engineers
250,fe-candidate-0250-cal-henderson,Cal Henderson,1977,Slack founder,,,,,https://en.wikipedia.org/wiki/Cal_Henderson,unresearched,unverified_candidate,Curated: Slack founder
251,fe-candidate-0251-dale-heatherington,Dale Heatherington,,American software engineers,,,,,https://en.wikipedia.org/wiki/Dale_Heatherington,unresearched,unverified_candidate,Wikipedia category: American software engineers
252,fe-candidate-0252-thomas-anantharaman,Thomas Anantharaman,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Thomas_Anantharaman,unresearched,unverified_candidate,Wikipedia category: American computer scientists
253,fe-candidate-0253-alexis-evans,Alexis Evans,,tech founder,,,,,https://en.wikipedia.org/wiki/Alexis_Evans,unresearched,unverified_candidate,Curated: tech founder
254,fe-candidate-0254-alan-eustace,Alan Eustace,1954,Google VP,,,,,https://en.wikipedia.org/wiki/Alan_Eustace,unresearched,unverified_candidate,Curated: Google VP
255,fe-candidate-0255-reid-hoffman,Reid Hoffman,1967,LinkedIn founder,,,,,https://en.wikipedia.org/wiki/Reid_Hoffman,unresearched,unverified_candidate,Curated: LinkedIn founder
256,fe-candidate-0256-andrew-barto,Andrew Barto,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Andrew_Barto,unresearched,unverified_candidate,Wikipedia category: American computer scientists
257,fe-candidate-0257-robin-walker,Robin Walker,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Robin_Walker,unresearched,unverified_candidate,Curated: Valve engineer
258,fe-candidate-0258-jason-mitchell,Jason Mitchell,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Jason_Mitchell,unresearched,unverified_candidate,Curated: Valve engineer
259,fe-candidate-0259-premal-shah,Premal Shah,,Kiva founder,,,,,https://en.wikipedia.org/wiki/Premal_Shah,unresearched,unverified_candidate,Curated: Kiva founder
260,fe-candidate-0260-african-american-women-in-computer-science,African-American women in computer science,,American computer scientists,,,,,https://en.wikipedia.org/wiki/African-American_women_in_computer_science,unresearched,unverified_candidate,Wikipedia category: American computer scientists
261,fe-candidate-0261-rajeev-alur,Rajeev Alur,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Rajeev_Alur,unresearched,unverified_candidate,Wikipedia category: American computer scientists
262,fe-candidate-0262-greg-kroah-hartman,Greg Kroah-Hartman,1970,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Greg_Kroah-Hartman,unresearched,unverified_candidate,Curated: Linux kernel maintainer
263,fe-candidate-0263-lee-daniel-crocker,Lee Daniel Crocker,,American software engineers,,,,,https://en.wikipedia.org/wiki/Lee_Daniel_Crocker,unresearched,unverified_candidate,Wikipedia category: American software engineers
264,fe-candidate-0264-donald-bitzer,Donald Bitzer,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Donald_Bitzer,unresearched,unverified_candidate,Wikipedia category: American computer scientists
265,fe-candidate-0265-yu-pan,Yu Pan,,PayPal founder,,,,,https://en.wikipedia.org/wiki/Yu_Pan,unresearched,unverified_candidate,Curated: PayPal founder
266,fe-candidate-0266-edmund-berkeley,Edmund Berkeley,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Edmund_Berkeley,unresearched,unverified_candidate,Wikipedia category: American computer scientists
267,fe-candidate-0267-alissa-jay-abdullah,Alissa Jay Abdullah,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Alissa_Jay_Abdullah,unresearched,unverified_candidate,Wikipedia category: American computer scientists
268,fe-candidate-0268-perry-alexander,Perry Alexander,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Perry_Alexander,unresearched,unverified_candidate,Wikipedia category: American computer scientists
269,fe-candidate-0269-christie-koehler,Christie Koehler,,Stripe engineer,,,,,https://en.wikipedia.org/wiki/Christie_Koehler,unresearched,unverified_candidate,Curated: Stripe engineer
270,fe-candidate-0270-tom-preston-werner,Tom Preston-Werner,1979,GitHub founder,,,,,https://en.wikipedia.org/wiki/Tom_Preston-Werner,unresearched,unverified_candidate,Curated: GitHub founder
271,fe-candidate-0271-babak-nivi,Babak Nivi,,AngelList founder,,,,,https://en.wikipedia.org/wiki/Babak_Nivi,unresearched,unverified_candidate,Curated: AngelList founder
272,fe-candidate-0272-kate-losse,Kate Losse,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Kate_Losse,unresearched,unverified_candidate,Curated: Facebook engineer
273,fe-candidate-0273-julian-bigelow,Julian Bigelow,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Julian_Bigelow,unresearched,unverified_candidate,Wikipedia category: American computer scientists
274,fe-candidate-0274-daphne-koller,Daphne Koller,1968,Coursera founder,,,,,https://en.wikipedia.org/wiki/Daphne_Koller,unresearched,unverified_candidate,Curated: Coursera founder
275,fe-candidate-0275-alexis-battle,Alexis Battle,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Alexis_Battle,unresearched,unverified_candidate,Wikipedia category: American computer scientists
276,fe-candidate-0276-moira-burke,Moira Burke,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Moira_Burke,unresearched,unverified_candidate,Wikipedia category: American computer scientists
277,fe-candidate-0277-maxine-d.-brown,Maxine D. Brown,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Maxine_D._Brown,unresearched,unverified_candidate,Wikipedia category: American computer scientists
278,fe-candidate-0278-jeremy-howard,Jeremy Howard,1971,fast.ai founder,,,,,https://en.wikipedia.org/wiki/Jeremy_Howard,unresearched,unverified_candidate,Curated: fast.ai founder
279,fe-candidate-0279-charles-hoskinson,Charles Hoskinson,1987,Cardano founder,,,,,https://en.wikipedia.org/wiki/Charles_Hoskinson,unresearched,unverified_candidate,Curated: Cardano founder
280,fe-candidate-0280-maciej-cegłowski,Maciej Cegłowski,,American software engineers,,,,,https://en.wikipedia.org/wiki/Maciej_Cegłowski,unresearched,unverified_candidate,Wikipedia category: American software engineers
281,fe-candidate-0281-nina-amenta,Nina Amenta,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Nina_Amenta,unresearched,unverified_candidate,Wikipedia category: American computer scientists
282,fe-candidate-0282-stephanie-hurlburt,Stephanie Hurlburt,,tech founder,,,,,https://en.wikipedia.org/wiki/Stephanie_Hurlburt,unresearched,unverified_candidate,Curated: tech founder
283,fe-candidate-0283-justin-kan,Justin Kan,1983,YC founder,,,,,https://en.wikipedia.org/wiki/Justin_Kan,unresearched,unverified_candidate,Curated: YC founder
284,fe-candidate-0284-alexey-dosovitskiy,Alexey Dosovitskiy,1987,AI researcher,,,,,https://en.wikipedia.org/wiki/Alexey_Dosovitskiy,unresearched,unverified_candidate,Curated: AI researcher
285,fe-candidate-0285-shona-brown,Shona Brown,,Google VP,,,,,https://en.wikipedia.org/wiki/Shona_Brown,unresearched,unverified_candidate,Curated: Google VP
286,fe-candidate-0286-bob-kahn,Bob Kahn,1938,TCP/IP creator,,,,,https://en.wikipedia.org/wiki/Bob_Kahn,unresearched,unverified_candidate,Curated: TCP/IP creator
287,fe-candidate-0287-will-ahmed,Will Ahmed,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Will_Ahmed,unresearched,unverified_candidate,Wikipedia category: American technology company founders
288,fe-candidate-0288-chris-cox-(manager),Chris Cox (manager),,American software engineers,,,,,https://en.wikipedia.org/wiki/Chris_Cox_(manager),unresearched,unverified_candidate,Wikipedia category: American software engineers
289,fe-candidate-0289-adrian-bubalo,Adrian Bubalo,,Google engineer,,,,,https://en.wikipedia.org/wiki/Adrian_Bubalo,unresearched,unverified_candidate,Curated: Google engineer
290,fe-candidate-0290-niki-parmar,Niki Parmar,,AI researcher,,,,,https://en.wikipedia.org/wiki/Niki_Parmar,unresearched,unverified_candidate,Curated: AI researcher
291,fe-candidate-0291-russell-a.-brown,Russell A. Brown,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Russell_A._Brown,unresearched,unverified_candidate,Wikipedia category: American computer scientists
292,fe-candidate-0292-bartek-filipowicz,Bartek Filipowicz,,C++ author,,,,,https://en.wikipedia.org/wiki/Bartek_Filipowicz,unresearched,unverified_candidate,Curated: C++ author
293,fe-candidate-0293-derek-belch,Derek Belch,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Derek_Belch,unresearched,unverified_candidate,Wikipedia category: American technology company founders
294,fe-candidate-0294-dario-amodei,Dario Amodei,1983,Anthropic founder,,,,,https://en.wikipedia.org/wiki/Dario_Amodei,unresearched,unverified_candidate,Curated: Anthropic founder
295,fe-candidate-0295-tülay-adalı,Tülay Adalı,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Tülay_Adalı,unresearched,unverified_candidate,Wikipedia category: American computer scientists
296,fe-candidate-0296-gabe-newell,Gabe Newell,1962,Valve founder,,,,,https://en.wikipedia.org/wiki/Gabe_Newell,unresearched,unverified_candidate,Curated: Valve founder
297,fe-candidate-0297-kimbal-musk,Kimbal Musk,1972,tech founder,,,,,https://en.wikipedia.org/wiki/Kimbal_Musk,unresearched,unverified_candidate,Curated: tech founder
298,fe-candidate-0298-grumm,Grumm,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Grumm,unresearched,unverified_candidate,Curated: Minecraft developer
299,fe-candidate-0299-rachel-bernstein,Rachel Bernstein,,American software engineers,,,,,https://en.wikipedia.org/wiki/Rachel_Bernstein,unresearched,unverified_candidate,Wikipedia category: American software engineers
300,fe-candidate-0300-jay-alammar,Jay Alammar,,AI educator,,,,,https://en.wikipedia.org/wiki/Jay_Alammar,unresearched,unverified_candidate,Curated: AI educator
301,fe-candidate-0301-raymond-chen,Raymond Chen,,Microsoft engineer,,,,,https://en.wikipedia.org/wiki/Raymond_Chen,unresearched,unverified_candidate,Curated: Microsoft engineer
302,fe-candidate-0302-gilad-bracha,Gilad Bracha,,American software engineers,,,,,https://en.wikipedia.org/wiki/Gilad_Bracha,unresearched,unverified_candidate,Wikipedia category: American software engineers
303,fe-candidate-0303-ashok-agrawala,Ashok Agrawala,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Ashok_Agrawala,unresearched,unverified_candidate,Wikipedia category: American computer scientists
304,fe-candidate-0304-andrew-morton,Andrew Morton,1959,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Andrew_Morton,unresearched,unverified_candidate,Curated: Linux kernel maintainer
305,fe-candidate-0305-terry-bollinger,Terry Bollinger,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Terry_Bollinger,unresearched,unverified_candidate,Wikipedia category: American computer scientists
306,fe-candidate-0306-miklós-ajtai,Miklós Ajtai,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Miklós_Ajtai,unresearched,unverified_candidate,Wikipedia category: American computer scientists
307,fe-candidate-0307-faigy-mayer,Faigy Mayer,,American software engineers,,,,,https://en.wikipedia.org/wiki/Faigy_Mayer,unresearched,unverified_candidate,Wikipedia category: American software engineers
308,fe-candidate-0308-aditya-agarwal,Aditya Agarwal,,American software engineers,,,,,https://en.wikipedia.org/wiki/Aditya_Agarwal,unresearched,unverified_candidate,Wikipedia category: American software engineers
309,fe-candidate-0309-nathan-rajlich,Nathan Rajlich,,open source maintainer,,,,,https://en.wikipedia.org/wiki/Nathan_Rajlich,unresearched,unverified_candidate,Curated: open source maintainer
310,fe-candidate-0310-hugo-bowne-anderson,Hugo Bowne-Anderson,,data scientist,,,,,https://en.wikipedia.org/wiki/Hugo_Bowne-Anderson,unresearched,unverified_candidate,Curated: data scientist
311,fe-candidate-0311-octavia-camps,Octavia Camps,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Octavia_Camps,unresearched,unverified_candidate,Wikipedia category: American computer scientists
312,fe-candidate-0312-brian-a.-barsky,Brian A. Barsky,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Brian_A._Barsky,unresearched,unverified_candidate,Wikipedia category: American computer scientists
313,fe-candidate-0313-ben-balter,Ben Balter,1987,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Ben_Balter,unresearched,unverified_candidate,Curated: GitHub engineer
314,fe-candidate-0314-kyle-daigle,Kyle Daigle,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Kyle_Daigle,unresearched,unverified_candidate,Curated: GitHub engineer
315,fe-candidate-0315-shaowen-bardzell,Shaowen Bardzell,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Shaowen_Bardzell,unresearched,unverified_candidate,Wikipedia category: American computer scientists
316,fe-candidate-0316-alex-larsson,Alex Larsson,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Alex_Larsson,unresearched,unverified_candidate,Curated: Docker engineer
317,fe-candidate-0317-caterina-fake,Caterina Fake,1969,Flickr founder,,,,,https://en.wikipedia.org/wiki/Caterina_Fake,unresearched,unverified_candidate,Curated: Flickr founder
318,fe-candidate-0318-donna-auguste,Donna Auguste,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Donna_Auguste,unresearched,unverified_candidate,Wikipedia category: American computer scientists
319,fe-candidate-0319-rafał-józefowicz,Rafał Józefowicz,,OpenAI researcher,,,,,https://en.wikipedia.org/wiki/Rafał_Józefowicz,unresearched,unverified_candidate,Curated: OpenAI researcher
320,fe-candidate-0320-steve-gill,Steve Gill,,PhoneGap engineer,,,,,https://en.wikipedia.org/wiki/Steve_Gill,unresearched,unverified_candidate,Curated: PhoneGap engineer
321,fe-candidate-0321-alec-radford,Alec Radford,1992,OpenAI researcher,,,,,https://en.wikipedia.org/wiki/Alec_Radford,unresearched,unverified_candidate,Curated: OpenAI researcher
322,fe-candidate-0322-joseph-j.-allaire,Joseph J. Allaire,,American software engineers,,,,,https://en.wikipedia.org/wiki/Joseph_J._Allaire,unresearched,unverified_candidate,Wikipedia category: American software engineers
323,fe-candidate-0323-larry-osterman,Larry Osterman,,Microsoft engineer,,,,,https://en.wikipedia.org/wiki/Larry_Osterman,unresearched,unverified_candidate,Curated: Microsoft engineer
324,fe-candidate-0324-margrit-betke,Margrit Betke,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Margrit_Betke,unresearched,unverified_candidate,Wikipedia category: American computer scientists
325,fe-candidate-0325-adora-cheung,Adora Cheung,,YC founder,,,,,https://en.wikipedia.org/wiki/Adora_Cheung,unresearched,unverified_candidate,Curated: YC founder
326,fe-candidate-0326-martin-lorentzon,Martin Lorentzon,1969,Spotify founder,,,,,https://en.wikipedia.org/wiki/Martin_Lorentzon,unresearched,unverified_candidate,Curated: Spotify founder
327,fe-candidate-0327-amjith-ramanan,Amjith Ramanan,,tech engineer,,,,,https://en.wikipedia.org/wiki/Amjith_Ramanan,unresearched,unverified_candidate,Curated: tech engineer
328,fe-candidate-0328-llion-jones,Llion Jones,1986,AI researcher,,,,,https://en.wikipedia.org/wiki/Llion_Jones,unresearched,unverified_candidate,Curated: AI researcher
329,fe-candidate-0329-paul-buchheit,Paul Buchheit,1977,YC partner,,,,,https://en.wikipedia.org/wiki/Paul_Buchheit,unresearched,unverified_candidate,Curated: YC partner
330,fe-candidate-0330-brian-leroux,Brian Leroux,1979,Adobe/PhoneGap engineer,,,,,https://en.wikipedia.org/wiki/Brian_Leroux,unresearched,unverified_candidate,Curated: Adobe/PhoneGap engineer
331,fe-candidate-0331-joshua-bloch,Joshua Bloch,,American software engineers,,,,,https://en.wikipedia.org/wiki/Joshua_Bloch,unresearched,unverified_candidate,Wikipedia category: American software engineers
332,fe-candidate-0332-chandrajit-bajaj,Chandrajit Bajaj,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Chandrajit_Bajaj,unresearched,unverified_candidate,Wikipedia category: American computer scientists
333,fe-candidate-0333-chris-barton-(businessman),Chris Barton (businessman),,American technology company founders,,,,,https://en.wikipedia.org/wiki/Chris_Barton_(businessman),unresearched,unverified_candidate,Wikipedia category: American technology company founders
334,fe-candidate-0334-matt-cohler,Matt Cohler,1977,Facebook VP,,,,,https://en.wikipedia.org/wiki/Matt_Cohler,unresearched,unverified_candidate,Curated: Facebook VP
335,fe-candidate-0335-nikolai-mushegian,Nikolai Mushegian,,American software engineers,,,,,https://en.wikipedia.org/wiki/Nikolai_Mushegian,unresearched,unverified_candidate,Wikipedia category: American software engineers
336,fe-candidate-0336-michael-graff,Michael Graff,,American software engineers,,,,,https://en.wikipedia.org/wiki/Michael_Graff,unresearched,unverified_candidate,Wikipedia category: American software engineers
337,fe-candidate-0337-john-newbery,John Newbery,,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/John_Newbery,unresearched,unverified_candidate,Curated: Bitcoin contributor
338,fe-candidate-0338-graham-berrigan,Graham Berrigan,,AI researcher,,,,,https://en.wikipedia.org/wiki/Graham_Berrigan,unresearched,unverified_candidate,Curated: AI researcher
339,fe-candidate-0339-arnold-beckman,Arnold Beckman,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Arnold_Beckman,unresearched,unverified_candidate,Wikipedia category: American technology company founders
340,fe-candidate-0340-brad-garlinghouse,Brad Garlinghouse,1968,Ripple CEO,,,,,https://en.wikipedia.org/wiki/Brad_Garlinghouse,unresearched,unverified_candidate,Curated: Ripple CEO
341,fe-candidate-0341-serafina-brocious,Serafina Brocious,,American software engineers,,,,,https://en.wikipedia.org/wiki/Serafina_Brocious,unresearched,unverified_candidate,Wikipedia category: American software engineers
342,fe-candidate-0342-helen-ling,Helen Ling,,American software engineers,,,,,https://en.wikipedia.org/wiki/Helen_Ling,unresearched,unverified_candidate,Wikipedia category: American software engineers
343,fe-candidate-0343-bob-mcgrew,Bob McGrew,,OpenAI VP,,,,,https://en.wikipedia.org/wiki/Bob_McGrew,unresearched,unverified_candidate,Curated: OpenAI VP
344,fe-candidate-0344-gregory-abowd,Gregory Abowd,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Gregory_Abowd,unresearched,unverified_candidate,Wikipedia category: American computer scientists
345,fe-candidate-0345-ed-colligan,Ed Colligan,1961,Palm founder,,,,,https://en.wikipedia.org/wiki/Ed_Colligan,unresearched,unverified_candidate,Curated: Palm founder
346,fe-candidate-0346-eric-feng,Eric Feng,,American software engineers,,,,,https://en.wikipedia.org/wiki/Eric_Feng,unresearched,unverified_candidate,Wikipedia category: American software engineers
347,fe-candidate-0347-caroline-ellison,Caroline Ellison,1994,Alameda CEO,,,,,https://en.wikipedia.org/wiki/Caroline_Ellison,unresearched,unverified_candidate,Curated: Alameda CEO
348,fe-candidate-0348-henry-baker-(computer-scientist),Henry Baker (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Henry_Baker_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
349,fe-candidate-0349-michael-branicky,Michael Branicky,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Michael_Branicky,unresearched,unverified_candidate,Wikipedia category: American computer scientists
350,fe-candidate-0350-anita-sarkeesian,Anita Sarkeesian,1983,media critic,,,,,https://en.wikipedia.org/wiki/Anita_Sarkeesian,unresearched,unverified_candidate,Curated: media critic
351,fe-candidate-0351-brendan-burns,Brendan Burns,,Kubernetes creator,,,,,https://en.wikipedia.org/wiki/Brendan_Burns,unresearched,unverified_candidate,Curated: Kubernetes creator
352,fe-candidate-0352-kim-mai-cutler,Kim Mai Cutler,,tech writer,,,,,https://en.wikipedia.org/wiki/Kim_Mai_Cutler,unresearched,unverified_candidate,Curated: tech writer
353,fe-candidate-0353-anita-borg,Anita Borg,1949,tech advocate,,,,,https://en.wikipedia.org/wiki/Anita_Borg,unresearched,unverified_candidate,Curated: tech advocate
354,fe-candidate-0354-fred-brooks,Fred Brooks,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Fred_Brooks,unresearched,unverified_candidate,Wikipedia category: American computer scientists
355,fe-candidate-0355-margaret-burnett,Margaret Burnett,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Margaret_Burnett,unresearched,unverified_candidate,Wikipedia category: American computer scientists
356,fe-candidate-0356-pei-cao,Pei Cao,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Pei_Cao,unresearched,unverified_candidate,Wikipedia category: American computer scientists
357,fe-candidate-0357-linda-avey,Linda Avey,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Linda_Avey,unresearched,unverified_candidate,Wikipedia category: American technology company founders
358,fe-candidate-0358-anthony-james-barr,Anthony James Barr,,American software engineers,,,,,https://en.wikipedia.org/wiki/Anthony_James_Barr,unresearched,unverified_candidate,Wikipedia category: American software engineers
359,fe-candidate-0359-brian-alvey,Brian Alvey,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Brian_Alvey,unresearched,unverified_candidate,Wikipedia category: American technology company founders
360,fe-candidate-0360-kim-bruce,Kim Bruce,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Kim_Bruce,unresearched,unverified_candidate,Wikipedia category: American computer scientists
361,fe-candidate-0361-do-kwon,Do Kwon,1991,Terra founder,,,,,https://en.wikipedia.org/wiki/Do_Kwon,unresearched,unverified_candidate,Curated: Terra founder
362,fe-candidate-0362-feross-aboukhadijeh,Feross Aboukhadijeh,1992,open source maintainer,,,,,https://en.wikipedia.org/wiki/Feross_Aboukhadijeh,unresearched,unverified_candidate,Curated: open source maintainer
363,fe-candidate-0363-michael-chau,Michael Chau,,PyTorch contributor,,,,,https://en.wikipedia.org/wiki/Michael_Chau,unresearched,unverified_candidate,Curated: PyTorch contributor
364,fe-candidate-0364-lenore-blum,Lenore Blum,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Lenore_Blum,unresearched,unverified_candidate,Wikipedia category: American computer scientists
365,fe-candidate-0365-michael-glukhovsky,Michael Glukhovsky,,RethinkDB founder,,,,,https://en.wikipedia.org/wiki/Michael_Glukhovsky,unresearched,unverified_candidate,Curated: RethinkDB founder
366,fe-candidate-0366-lucas-beyer,Lucas Beyer,,AI researcher,,,,,https://en.wikipedia.org/wiki/Lucas_Beyer,unresearched,unverified_candidate,Curated: AI researcher
367,fe-candidate-0367-david-oppenheimer,David Oppenheimer,,Kubernetes contributor,,,,,https://en.wikipedia.org/wiki/David_Oppenheimer,unresearched,unverified_candidate,Curated: Kubernetes contributor
368,fe-candidate-0368-robert-morris,Robert Morris,1965,YC founder,,,,,https://en.wikipedia.org/wiki/Robert_Morris,unresearched,unverified_candidate,Curated: YC founder
369,fe-candidate-0369-jeff-bonwick,Jeff Bonwick,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Jeff_Bonwick,unresearched,unverified_candidate,Wikipedia category: American computer scientists
370,fe-candidate-0370-mihai-alisie,Mihai Alisie,,Ethereum founder,,,,,https://en.wikipedia.org/wiki/Mihai_Alisie,unresearched,unverified_candidate,Curated: Ethereum founder
371,fe-candidate-0371-hugo-barra,Hugo Barra,1976,tech executive,,,,,https://en.wikipedia.org/wiki/Hugo_Barra,unresearched,unverified_candidate,Curated: tech executive
372,fe-candidate-0372-sarma-bala-vrudhula,Sarma Bala Vrudhula,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Sarma_Bala_Vrudhula,unresearched,unverified_candidate,Wikipedia category: American computer scientists
373,fe-candidate-0373-stanley-ching,Stanley Ching,,AngelList founder,,,,,https://en.wikipedia.org/wiki/Stanley_Ching,unresearched,unverified_candidate,Curated: AngelList founder
374,fe-candidate-0374-greg-bryant-(computer-scientist),Greg Bryant (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Greg_Bryant_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
375,fe-candidate-0375-johanna-brewer,Johanna Brewer,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Johanna_Brewer,unresearched,unverified_candidate,Wikipedia category: American computer scientists
376,fe-candidate-0376-stephan-lavavej,Stephan Lavavej,,C++ library maintainer,,,,,https://en.wikipedia.org/wiki/Stephan_Lavavej,unresearched,unverified_candidate,Curated: C++ library maintainer
377,fe-candidate-0377-scott-meyers,Scott Meyers,1959,C++ author,,,,,https://en.wikipedia.org/wiki/Scott_Meyers,unresearched,unverified_candidate,Curated: C++ author
378,fe-candidate-0378-sandi-metz,Sandi Metz,,American software engineers,,,,,https://en.wikipedia.org/wiki/Sandi_Metz,unresearched,unverified_candidate,Wikipedia category: American software engineers
379,fe-candidate-0379-katherine-maher,Katherine Maher,1983,Wikimedia CEO,,,,,https://en.wikipedia.org/wiki/Katherine_Maher,unresearched,unverified_candidate,Curated: Wikimedia CEO
380,fe-candidate-0380-cory-watson,Cory Watson,,Netflix engineer,,,,,https://en.wikipedia.org/wiki/Cory_Watson,unresearched,unverified_candidate,Curated: Netflix engineer
381,fe-candidate-0381-lukasz-kaiser,Lukasz Kaiser,,AI researcher,,,,,https://en.wikipedia.org/wiki/Lukasz_Kaiser,unresearched,unverified_candidate,Curated: AI researcher
382,fe-candidate-0382-philip-s.-abrams,Philip S. Abrams,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Philip_S._Abrams,unresearched,unverified_candidate,Wikipedia category: American computer scientists
383,fe-candidate-0383-arvind-(computer-scientist),Arvind (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Arvind_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
384,fe-candidate-0384-garlin-gilchrist,Garlin Gilchrist,,American software engineers,,,,,https://en.wikipedia.org/wiki/Garlin_Gilchrist,unresearched,unverified_candidate,Wikipedia category: American software engineers
385,fe-candidate-0385-matthew-o'dwyer,Matthew O'Dwyer,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Matthew_O'Dwyer,unresearched,unverified_candidate,Curated: Valve engineer
386,fe-candidate-0386-solomon-hykes,Solomon Hykes,1979,YC founder,,,,,https://en.wikipedia.org/wiki/Solomon_Hykes,unresearched,unverified_candidate,Curated: YC founder
387,fe-candidate-0387-edward-coristine,Edward Coristine,,American software engineers,,,,,https://en.wikipedia.org/wiki/Edward_Coristine,unresearched,unverified_candidate,Wikipedia category: American software engineers
