name,wikipedia_url,category,birth_year,platform,known_for
Roddy Ricch,https://en.wikipedia.org/wiki/Roddy_Ricch,Music artist,1998,YouTube/SoundCloud,The Box TikTok viral; Grammy winner
PinkPantheress,https://en.wikipedia.org/wiki/PinkPantheress,Music artist,2001,TikTok,TikTok-produced bedroom-pop; sample-driven viral hits
Tate McRae,https://en.wikipedia.org/wiki/Tate_McRae,Music artist,2003,YouTube/TikTok,you broke me first viral; dancer turned pop star
Olivia Rodrigo,https://en.wikipedia.org/wiki/Olivia_Rodrigo,Music artist,2003,Internet/TikTok,drivers license viral; TikTok-driven debut album
Conan Gray,https://en.wikipedia.org/wiki/Conan_Gray,Music artist,1998,YouTube,YouTube vlog-turned-pop star; Heather TikTok hit
Lauv,https://en.wikipedia.org/wiki/Lauv,Music artist,1994,SoundCloud/Spotify,I Like Me Better; streaming-era pop breakout
Powfu,https://en.wikipedia.org/wiki/Powfu,Music artist,1999,TikTok/SoundCloud,Death Bed TikTok viral; lo-fi bedroom pop
Cavetown,https://en.wikipedia.org/wiki/Cavetown_(musician),Music artist,1998,YouTube,Trans bedroom-pop; Boys Will Be Bugs; YouTube-built following
Girl in Red,https://en.wikipedia.org/wiki/Girl_in_Red,Music artist,1999,YouTube/Bandcamp,Norwegian queer bedroom-pop; internet cult following
beabadoobee,https://en.wikipedia.org/wiki/Beabadoobee,Music artist,2000,YouTube,Coffee viral; Filipino-British indie; TikTok-driven
Steve Lacy,https://en.wikipedia.org/wiki/Steve_Lacy_(musician),Music artist,1998,Internet,Bad Habit TikTok #1; Internet Money producer
Daniel Caesar,https://en.wikipedia.org/wiki/Daniel_Caesar,Music artist,1995,SoundCloud/YouTube,Best Part; Grammy winner; internet-built R&B
Brent Faiyaz,https://en.wikipedia.org/wiki/Brent_Faiyaz,Music artist,1995,SoundCloud/Internet,Sonder; R&B internet breakout
Khalid,https://en.wikipedia.org/wiki/Khalid_(singer),Music artist,1998,SoundCloud/Internet,Location viral; Grammy-nominated; teen debut
H.E.R.,https://en.wikipedia.org/wiki/H.E.R.,Music artist,1997,YouTube/Internet,YouTube-built R&B; Grammy and Oscar winner
Summer Walker,https://en.wikipedia.org/wiki/Summer_Walker,Music artist,1996,Internet/Streaming,Streaming-era R&B; Girls Need Love viral
Megan Thee Stallion,https://en.wikipedia.org/wiki/Megan_Thee_Stallion,Music artist,1995,YouTube/Internet,Hot Girl Summer; TikTok-driven; Grammy winner
Tinashe,https://en.wikipedia.org/wiki/Tinashe,Music artist,1993,YouTube/Internet,YouTube covers; R&B pop; 2 On breakout
Kehlani,https://en.wikipedia.org/wiki/Kehlani,Music artist,1995,YouTube/SoundCloud,SoundCloud R&B; You Should Be Here mixtape
Jorja Smith,https://en.wikipedia.org/wiki/Jorja_Smith,Music artist,1997,YouTube/SoundCloud,UK R&B; Drake co-sign; internet-built
Ella Mai,https://en.wikipedia.org/wiki/Ella_Mai,Music artist,1994,Internet/Streaming,Boo'd Up viral; Grammy winner
Normani,https://en.wikipedia.org/wiki/Normani,Music artist,1996,Internet/TV,Fifth Harmony; solo TikTok-driven hits
Camila Cabello,https://en.wikipedia.org/wiki/Camila_Cabello,Music artist,1997,Internet/TV,Fifth Harmony; Havana TikTok viral solo breakout
Dua Lipa,https://en.wikipedia.org/wiki/Dua_Lipa,Music artist,1995,YouTube/Streaming,YouTube covers; streaming-era pop star; Grammy winner
Ava Max,https://en.wikipedia.org/wiki/Ava_Max,Music artist,1993,YouTube/Streaming,Sweet but Psycho; streaming-era pop
Kim Petras,https://en.wikipedia.org/wiki/Kim_Petras,Music artist,1992,YouTube/Internet,Trans pop artist; Unholy Grammy winner
Troye Sivan,https://en.wikipedia.org/wiki/Troye_Sivan,Music artist,1995,YouTube,YouTube vlogger turned pop star; Blue Neighbourhood
Joji,https://en.wikipedia.org/wiki/Joji_(musician),Music artist,1992,YouTube,Filthy Frank / Pink Guy; transition to alt-R&B music
DDG,https://en.wikipedia.org/wiki/DDG_(rapper),Music artist,1997,YouTube,YouTube vlog-turned-rapper; streaming hits
6ix9ine,https://en.wikipedia.org/wiki/6ix9ine,Music artist,1996,Internet/YouTube,Controversial rapper; viral internet presence
Lil Pump,https://en.wikipedia.org/wiki/Lil_Pump,Music artist,2000,SoundCloud/YouTube,Gucci Gang SoundCloud viral; SoundCloud rap era
Smokepurpp,https://en.wikipedia.org/wiki/Smokepurpp,Music artist,1997,SoundCloud,SoundCloud rap; early breakout
Ski Mask the Slump God,https://en.wikipedia.org/wiki/Ski_Mask_the_Slump_God,Music artist,1996,SoundCloud,SoundCloud rap; XXXTentacion collaborator
XXXTentacion,https://en.wikipedia.org/wiki/XXXTentacion,Music artist,1998,SoundCloud,SoundCloud rap icon; Look at Me viral; posthumous legacy
Juice WRLD,https://en.wikipedia.org/wiki/Juice_WRLD,Music artist,1998,SoundCloud,Lucid Dreams SoundCloud viral; emo-rap pioneer
Lil Peep,https://en.wikipedia.org/wiki/Lil_Peep,Music artist,1996,SoundCloud,Emo-rap pioneer; SoundCloud cult following
Trippie Redd,https://en.wikipedia.org/wiki/Trippie_Redd,Music artist,1999,SoundCloud,SoundCloud rap; Love Scars viral
Polo G,https://en.wikipedia.org/wiki/Polo_G,Music artist,1999,YouTube/Internet,Pop Out viral; Chicago rap; Billboard #1
NLE Choppa,https://en.wikipedia.org/wiki/NLE_Choppa,Music artist,2002,YouTube/Internet,Shotta Flow viral at 16; Memphis rap
Baby Keem,https://en.wikipedia.org/wiki/Baby_Keem,Music artist,2000,Internet/Streaming,Family Ties; Grammy winner; Kendrick cousin
Yeat,https://en.wikipedia.org/wiki/Yeat,Music artist,2002,TikTok/Internet,TikTok-driven rap; underground-to-mainstream
Playboi Carti,https://en.wikipedia.org/wiki/Playboi_Carti,Music artist,1996,SoundCloud/Internet,SoundCloud rap; Magnolia; cult following
Lil Uzi Vert,https://en.wikipedia.org/wiki/Lil_Uzi_Vert,Music artist,1994,SoundCloud,SoundCloud rap; XO TOUR Llif3 viral; Grammy nominated
21 Savage,https://en.wikipedia.org/wiki/21_Savage,Music artist,1992,Internet/YouTube,Atlanta rap; Bank Account; internet-built following
Gunna,https://en.wikipedia.org/wiki/Gunna,Music artist,1993,Internet/Streaming,Drip Too Hard; streaming-era rap
Lil Baby,https://en.wikipedia.org/wiki/Lil_Baby,Music artist,1994,Internet/Streaming,Drip Too Hard; Grammy nominated; streaming-era rap
Yung Lean,https://en.wikipedia.org/wiki/Yung_Lean,Music artist,1996,YouTube/SoundCloud,Ginseng Strip 2002 viral; sad boys; internet cult icon
Bladee,https://en.wikipedia.org/wiki/Bladee,Music artist,1994,SoundCloud/Internet,Drain Gang; hyperpop pioneer; internet cult following
Sheck Wes,https://en.wikipedia.org/wiki/Sheck_Wes,Music artist,1998,Internet/Streaming,Mo Bamba viral; Travis Scott co-sign
Rina Sawayama,https://en.wikipedia.org/wiki/Rina_Sawayama,Music artist,1990,YouTube/Internet,Internet-built pop; SAWAYAMA; critical acclaim
Arlo Parks,https://en.wikipedia.org/wiki/Arlo_Parks,Music artist,2000,Internet/Streaming,UK poet-pop; Mercury Prize; internet-built
Declan McKenna,https://en.wikipedia.org/wiki/Declan_McKenna,Music artist,1998,YouTube,Brazil YouTube viral; indie pop; Glastonbury
Omar Apollo,https://en.wikipedia.org/wiki/Omar_Apollo,Music artist,1997,YouTube/Streaming,Internet-built bilingual indie-pop; Grammy nominated
SZA,https://en.wikipedia.org/wiki/SZA,Music artist,1989,Internet/Streaming,TDE; Ctrl; streaming-era R&B; Grammy winner
Madison Beer,https://en.wikipedia.org/wiki/Madison_Beer,Music artist,1999,YouTube/Instagram,YouTube covers; Justin Bieber co-sign; TikTok presence
JVKE,https://en.wikipedia.org/wiki/JVKE,Music artist,2001,TikTok,Golden Hour TikTok viral; internet-built pop
Salem Ilese,https://en.wikipedia.org/wiki/Salem_Ilese,Music artist,2000,TikTok,Mad at Disney TikTok viral; songwriter
GAYLE,https://en.wikipedia.org/wiki/GAYLE,Music artist,2004,TikTok,abcdefu TikTok viral; teen pop breakout
Mae Muller,https://en.wikipedia.org/wiki/Mae_Muller,Music artist,1997,Internet/Streaming,UK pop; Eurovision; streaming-era
mxmtoon,https://en.wikipedia.org/wiki/mxmtoon,Music artist,2000,YouTube/TikTok,Bedroom pop; TikTok presence; indie
Gus Dapperton,https://en.wikipedia.org/wiki/Gus_Dapperton,Music artist,1997,YouTube/Internet,Indie pop; internet-built; aesthetic icon
Sub Urban,https://en.wikipedia.org/wiki/Sub_Urban,Music artist,1999,TikTok,Cradles TikTok viral; dark alt-pop
Ruel,https://en.wikipedia.org/wiki/Ruel_(singer),Music artist,2002,YouTube/Internet,Australian teen pop; YouTube; streaming
Lana Rhoades,https://en.wikipedia.org/wiki/Lana_Rhoades,Adult content creator,1996,Internet/OnlyFans,Adult film star turned social media personality; podcast
Riley Reid,https://en.wikipedia.org/wiki/Riley_Reid,Adult content creator,1991,Internet,Adult film star; AVN awards; mainstream crossover
Mia Malkova,https://en.wikipedia.org/wiki/Mia_Malkova,Adult content creator,1992,Internet,Adult film star; Twitch streamer; mainstream crossover
Sasha Grey,https://en.wikipedia.org/wiki/Sasha_Grey,Adult content creator,1988,Internet,Adult film star turned mainstream actress; author; DJ
Stoya,https://en.wikipedia.org/wiki/Stoya,Adult content creator,1986,Internet,Adult film star; writer; mainstream crossover
Tori Black,https://en.wikipedia.org/wiki/Tori_Black,Adult content creator,1988,Internet,Adult film star; AVN Hall of Fame; mainstream crossover
Asa Akira,https://en.wikipedia.org/wiki/Asa_Akira,Adult content creator,1986,Internet,Adult film star; author; podcast host
Bree Olson,https://en.wikipedia.org/wiki/Bree_Olson,Adult content creator,1986,Internet,Adult film star; mainstream media appearances
Dani Daniels,https://en.wikipedia.org/wiki/Dani_Daniels,Adult content creator,1989,Internet,Adult film star; artist; podcast host
Christy Mack,https://en.wikipedia.org/wiki/Christy_Mack,Adult content creator,1991,Internet,Adult film star; model; tattoo icon
Bonnie Rotten,https://en.wikipedia.org/wiki/Bonnie_Rotten,Adult content creator,1993,Internet,Adult film star; AVN awards; producer
Alex Cooper,https://en.wikipedia.org/wiki/Alexandra_Cooper_(podcaster),Podcaster,1994,Podcast,Call Her Daddy; largest female podcast; Spotify deal
Cody Ko,https://en.wikipedia.org/wiki/Cody_Ko,Content creator/Podcaster,1990,YouTube/Podcast,Comedy commentary; Tiny Meat Gang podcast
Noel Miller,https://en.wikipedia.org/wiki/Noel_Miller,Content creator/Podcaster,1989,YouTube/Podcast,Comedy commentary; Tiny Meat Gang; music
Danny Gonzalez,https://en.wikipedia.org/wiki/Danny_Gonzalez,Content creator,1994,YouTube,Comedy commentary; Vine alum; music parodies
Drew Gooden,https://en.wikipedia.org/wiki/Drew_Gooden,Content creator,1993,YouTube,Comedy commentary; Vine alum
Kurtis Conner,https://en.wikipedia.org/wiki/Kurtis_Conner,Content creator,1994,YouTube,Comedy commentary; Vine alum
Michael Reeves,https://en.wikipedia.org/wiki/Michael_Reeves,Content creator,1997,YouTube,Tech/comedy content; OfflineTV member
Sommer Ray,https://en.wikipedia.org/wiki/Sommer_Ray,Instagram influencer,1996,Instagram,Fitness model; massive Instagram following; brand empire
JoJo Siwa,https://en.wikipedia.org/wiki/JoJo_Siwa,Content creator,2003,YouTube/TV,Dance Moms; YouTube personality; music; brand empire
Maddie Ziegler,https://en.wikipedia.org/wiki/Maddie_Ziegler,Content creator,2002,YouTube/TV,Dance Moms star; Sia music videos; actress
Mackenzie Ziegler,https://en.wikipedia.org/wiki/Mackenzie_Ziegler,Content creator,2004,YouTube/TV,Dance Moms; music career; social media
Chloe Lukasiak,https://en.wikipedia.org/wiki/Chloe_Lukasiak,Content creator,2001,YouTube/TV,Dance Moms; actress; YouTube
Bhad Bhabie,https://en.wikipedia.org/wiki/Bhad_Bhabie,Content creator,2003,Internet/TV,Cash me outside meme; rap career; OnlyFans millionaire
Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,Digital-native celebrity,2004,Netflix/Instagram,Stranger Things; social media; producer
Finn Wolfhard,https://en.wikipedia.org/wiki/Finn_Wolfhard,Digital-native celebrity,2002,Netflix/Instagram,Stranger Things; social media; music
Jenna Ortega,https://en.wikipedia.org/wiki/Jenna_Ortega,Digital-native celebrity,2002,Disney/Instagram,Disney Channel; Wednesday; social media following
Zendaya,https://en.wikipedia.org/wiki/Zendaya,Digital-native celebrity,1996,Disney/Instagram,Disney Channel; Euphoria; social media icon
Tom Holland,https://en.wikipedia.org/wiki/Tom_Holland,Digital-native celebrity,1996,Instagram/Internet,Spider-Man; massive social media following
Timothée Chalamet,https://en.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet,Digital-native celebrity,1995,Instagram/Internet,Call Me By Your Name; social media heartthrob
Anya Taylor-Joy,https://en.wikipedia.org/wiki/Anya_Taylor-Joy,Digital-native celebrity,1996,Netflix/Instagram,Queen's Gambit; social media viral moment
Jacob Elordi,https://en.wikipedia.org/wiki/Jacob_Elordi,Digital-native celebrity,1997,Instagram/Internet,Euphoria; social media following
Sydney Sweeney,https://en.wikipedia.org/wiki/Sydney_Sweeney,Digital-native celebrity,1997,HBO/Instagram,Euphoria; social media icon
Skai Jackson,https://en.wikipedia.org/wiki/Skai_Jackson,Digital-native celebrity,2002,Disney/Instagram,Disney Channel; social media; author
Peyton List,"https://en.wikipedia.org/wiki/Peyton_List_(actress,_born_1998)",Digital-native celebrity,1998,Disney/Instagram,Disney Channel; Jessie; social media following
